user_id,deal_id,interaction,joinedAt
user_00001,deal_00034,1.0,2026-01-12T22:16:51Z
user_00001,deal_00089,1.0,2026-04-01T09:16:51Z
user_00001,deal_00200,1.0,2025-12-06T07:16:51Z
user_00001,deal_00148,1.0,2026-02-05T22:16:51Z
user_00001,deal_00223,1.0,2026-04-02T23:16:51Z
user_00001,deal_00252,1.0,2026-03-08T14:16:51Z
user_00001,deal_00168,1.0,2025-12-08T08:16:51Z
user_00001,deal_00258,1.0,2025-12-11T16:16:51Z
user_00001,deal_00147,1.0,2026-02-24T07:16:51Z
user_00001,deal_00112,1.0,2025-12-13T04:16:51Z
user_00001,deal_00291,1.0,2026-03-22T16:16:51Z
user_00001,deal_00048,1.0,2026-02-16T04:16:51Z
user_00001,deal_00197,1.0,2026-03-24T01:16:51Z
user_00001,deal_00130,1.0,2026-01-07T16:16:51Z
user_00001,deal_00226,1.0,2026-03-13T11:16:51Z
user_00001,deal_00096,1.0,2026-02-11T16:16:51Z
user_00001,deal_00014,1.0,2026-02-22T13:16:51Z
user_00002,deal_00004,1.0,2026-01-04T02:16:51Z
user_00002,deal_00279,1.0,2025-12-20T09:16:51Z
user_00002,deal_00106,1.0,2025-12-13T23:16:51Z
user_00002,deal_00159,1.0,2026-01-05T08:16:51Z
user_00002,deal_00094,1.0,2026-02-01T10:16:51Z
user_00002,deal_00011,1.0,2026-03-05T00:16:51Z
user_00006,deal_00123,1.0,2026-02-13T01:16:51Z
user_00006,deal_00079,1.0,2026-02-08T02:16:51Z
user_00006,deal_00259,1.0,2025-12-23T08:16:51Z
user_00006,deal_00160,1.0,2026-03-03T04:16:51Z
user_00006,deal_00249,1.0,2026-01-11T10:16:51Z
user_00006,deal_00038,1.0,2026-03-02T19:16:51Z
user_00006,deal_00048,1.0,2026-01-16T17:16:51Z
user_00006,deal_00191,1.0,2025-12-31T17:16:51Z
user_00006,deal_00090,1.0,2026-02-25T14:16:51Z
user_00007,deal_00047,1.0,2026-02-02T10:16:51Z
user_00007,deal_00131,1.0,2026-03-31T18:16:51Z
user_00007,deal_00189,1.0,2026-03-26T12:16:51Z
user_00007,deal_00212,1.0,2026-03-01T06:16:51Z
user_00007,deal_00225,1.0,2026-03-29T11:16:51Z
user_00007,deal_00067,1.0,2025-12-23T00:16:51Z
user_00007,deal_00121,1.0,2026-01-29T03:16:51Z
user_00007,deal_00066,1.0,2026-01-12T14:16:51Z
user_00007,deal_00181,1.0,2026-01-28T23:16:51Z
user_00007,deal_00019,1.0,2026-02-07T14:16:51Z
user_00007,deal_00263,1.0,2026-02-11T10:16:51Z
user_00007,deal_00005,1.0,2026-01-11T19:16:51Z
user_00007,deal_00117,1.0,2026-01-24T17:16:51Z
user_00007,deal_00105,1.0,2026-03-15T04:16:51Z
user_00007,deal_00136,1.0,2026-03-24T03:16:51Z
user_00007,deal_00247,1.0,2026-03-23T20:16:51Z
user_00007,deal_00142,1.0,2025-12-07T06:16:51Z
user_00007,deal_00171,1.0,2025-12-21T08:16:51Z
user_00007,deal_00043,1.0,2026-01-25T02:16:51Z
user_00008,deal_00078,1.0,2025-12-05T23:16:51Z
user_00008,deal_00108,1.0,2026-03-19T22:16:51Z
user_00008,deal_00276,1.0,2026-01-14T17:16:51Z
user_00008,deal_00053,1.0,2026-03-27T03:16:51Z
user_00008,deal_00054,1.0,2026-01-07T13:16:51Z
user_00010,deal_00137,1.0,2026-01-19T16:16:51Z
user_00010,deal_00254,1.0,2026-03-24T21:16:51Z
user_00010,deal_00223,1.0,2026-02-03T20:16:51Z
user_00010,deal_00036,1.0,2026-02-16T11:16:51Z
user_00010,deal_00032,1.0,2026-01-29T18:16:51Z
user_00010,deal_00233,1.0,2026-03-13T01:16:51Z
user_00010,deal_00060,1.0,2026-03-14T04:16:51Z
user_00010,deal_00260,1.0,2025-12-26T09:16:51Z
user_00010,deal_00228,1.0,2025-12-09T18:16:51Z
